year;country;genre;director;scripter;producer;premier_data;age_bound;duration;title;actors;rating;rus_title;budget;Nan
Год производства2006;СтранаСША;Жанртриллер, драма, криминал, детективслова;РежиссерСпайк Ли;СценарийРасселл Гевиртц;ПродюсерБрайан Грейзер, Джонатан Филли, Карен Кехела, ...;Премьера в мире16 марта 2006, ...;Возраст16+;Время129 мин. / 02:09;Inside Man;Бруно ГанцАлександра Мария ЛараКоринна ХарфухУльрих МаттесЮлиана КёлерХайно ФерхКристиан БеркельМаттиас ХабихТомас КречманМихаэль Мендль;7.8;Не пойман — не вор (2006);Бюджет$45 000 000;
Год производства1994;СтранаСША;Жанружасы, фэнтези, драмаслова;РежиссерНил Джордан;СценарийЭнн Райс;ПродюсерДэвид Геффен, Стивен Вулли, Редмонд Моррис;Премьера в мире9 ноября 1994, ...;Возраст16+;Время123 мин. / 02:03;Interview with the Vampire: The Vampire Chronicles;Бруно ГанцАлександра Мария ЛараКоринна ХарфухУльрих МаттесЮлиана КёлерХайно ФерхКристиан БеркельМаттиас ХабихТомас КречманМихаэль Мендль;8.0;Интервью с вампиром (1994);Бюджет$60 000 000;
Год производства1980;СтранаСССР;Жанркриминал, детективслова;РежиссерИгорь Масленников;СценарийВладимир Валуцкий, Артур Конан Дойл;NaN;NaN;Возраст12+;Время63 мин. / 01:03;NaN;Василий ЛивановВиталий СоломинРина ЗелёнаяВалентина ПанинаБорислав БрондуковБорис РыжухинБорис КлюевАнатолий ПодшиваловСветлана Крючкова;8.3;NaN;NaN;
Год производства1965;СтранаИталия, Испания, Германия (ФРГ);Жанрвестерн, драма, боевикслова;РежиссерСерджио Леоне;СценарийСерджио Леоне, Фульвио Морселла, Лучиано Винчензони, ...;ПродюсерАртуро Гонзалез, Альфредо Фрайле, Альберто Гримальди;Премьера в мире18 декабря 1965, ...;Возраст16+;Время130 мин. / 02:10;NaN;Клинт ИствудЛи Ван КлифДжан Мария ВолонтеМара КруппЛуиджи ПистиллиКлаус КинскиЛуис Родригес ПалильоБенито СтефанеллиПанос ПападопулосАльдо Самбрель;8.2;NaN;Бюджет$600 000;
Год производства2011;СтранаСША, Великобритания;Жанрдрама, мелодрамаслова;РежиссерЛоне Шерфиг;СценарийДэвид Николлс;ПродюсерНина Джейкобсон, Рафаэль Бенолье, Джейн Фрейзер, ...;Премьера в мире8 августа 2011, ...;Возраст16+;Время103 мин. / 01:43;One Day;Клинт ИствудЛи Ван КлифДжан Мария ВолонтеМара КруппЛуиджи ПистиллиКлаус КинскиЛуис Родригес ПалильоБенито СтефанеллиПанос ПападопулосАльдо Самбрель;7.7;Один день (2011);Бюджет$15 000 000;
Год производства1987;СтранаСША;Жанрбоевик, триллер, криминалслова;РежиссерРичард Доннер;СценарийШейн Блэк, Джеффри Боум;ПродюсерРичард Доннер, Джоэл Силвер, Дженни Лью Тадженд;Премьера в мире6 марта 1987, ...;Возраст18+;Время110 мин. / 01:50;Lethal Weapon;Клинт ИствудЛи Ван КлифДжан Мария ВолонтеМара КруппЛуиджи ПистиллиКлаус КинскиЛуис Родригес ПалильоБенито СтефанеллиПанос ПападопулосАльдо Самбрель;8.0;Смертельное оружие (1987);Бюджет$15 000 000;
Год производства2008;СтранаСША, Великобритания;Жанркомедияслова;РежиссерПейтон Рид;СценарийНиколас Столлер, Джеррад Пол, Эндрю Моугел, ...;ПродюсерБрюс Берман, Тиффани Дэниэл, Марти П. Юинг, ...;Премьера в мире9 декабря 2008, ...;Возраст12+;Время104 мин. / 01:44;Yes Man;Клинт ИствудЛи Ван КлифДжан Мария ВолонтеМара КруппЛуиджи ПистиллиКлаус КинскиЛуис Родригес ПалильоБенито СтефанеллиПанос ПападопулосАльдо Самбрель;7.8;Всегда говори «ДА» (2008);Бюджет$70 000 000;
Год производства1985;СтранаСША;Жанрдрама, комедияслова;РежиссерДжон Хьюз;СценарийДжон Хьюз;ПродюсерДжон Хьюз, Нед Тэнен, Джил Фризен, ...;Премьера в мире7 февраля 1985, ...;Возраст16+;Время97 мин. / 01:37;The Breakfast Club;Клинт ИствудЛи Ван КлифДжан Мария ВолонтеМара КруппЛуиджи ПистиллиКлаус КинскиЛуис Родригес ПалильоБенито СтефанеллиПанос ПападопулосАльдо Самбрель;8.0;Клуб «Завтрак» (1985);Бюджет$1 000 000;
Год производства1991;СтранаСША, Япония;Жанрбоевик, триллер, криминалслова;РежиссерКэтрин Бигелоу;СценарийВ. Питер Айлифф, Рик Кинг;ПродюсерПитер Абрамс, Джозеф Ньютон Коэн, Роберт Л. Леви, ...;Премьера в мире10 июля 1991, ...;Возраст16+;Время117 мин. / 01:57;Point Break;Клинт ИствудЛи Ван КлифДжан Мария ВолонтеМара КруппЛуиджи ПистиллиКлаус КинскиЛуис Родригес ПалильоБенито СтефанеллиПанос ПападопулосАльдо Самбрель;7.8;На гребне волны (1991);Бюджет$24 000 000;
Год производства2011;СтранаИрландия;Жанртриллер, комедия, криминалслова;РежиссерДжон Майкл МакДона;СценарийДжон Майкл МакДона;ПродюсерКрис Кларк, Флора Фернандес-Маренго, Эд Гвини, ...;Премьера в мире20 января 2011, ...;Возраст16+;Время96 мин. / 01:36;The Guard;Клинт ИствудЛи Ван КлифДжан Мария ВолонтеМара КруппЛуиджи ПистиллиКлаус КинскиЛуис Родригес ПалильоБенито СтефанеллиПанос ПападопулосАльдо Самбрель;7.6;Однажды в Ирландии;Бюджет$6 000 000;
Год производства2008;СтранаВеликобритания, США, Индия;Жанркриминал, драма, мелодрамаслова;РежиссерДэнни Бойл, Лавлин Тандан;СценарийСаймон Бофой, Викас Сваруп;ПродюсерКристиан Колсон, Франсуа Ивернель, Ивана МакКиннон, ...;Премьера в мире30 августа 2008, ...;Возраст12+;Время120 мин. / 02:00;Slumdog Millionaire;Клинт ИствудЛи Ван КлифДжан Мария ВолонтеМара КруппЛуиджи ПистиллиКлаус КинскиЛуис Родригес ПалильоБенито СтефанеллиПанос ПападопулосАльдо Самбрель;7.7;Миллионер из трущоб;Бюджет$15 000 000;
Год производства1954;СтранаСША;Жанртриллер, детективслова;РежиссерАльфред Хичкок;СценарийДжон Майкл Хейс, Корнелл Вулрич;ПродюсерАльфред Хичкок;Премьера в мире4 августа 1954, ...;Возраст12+;Время112 мин. / 01:52;Rear Window;Клинт ИствудЛи Ван КлифДжан Мария ВолонтеМара КруппЛуиджи ПистиллиКлаус КинскиЛуис Родригес ПалильоБенито СтефанеллиПанос ПападопулосАльдо Самбрель;8.0;Окно во двор;Бюджет$2 000 000;
Год производства2017;СтранаСША, Великобритания, Канада, Венгрия, Испания, Мексика;Жанрфантастика, боевик, триллер, драма, детективслова;РежиссерДени Вильнёв;СценарийХэмптон Фанчер, Майкл Грин, Филип К. Дик;ПродюсерРидли Скотт, Синтия Сайкс, Бад Йоркин, ...;Премьера в мире3 октября 2017, ...;Возраст18+;Время164 мин. / 02:44;Blade Runner 2049;Клинт ИствудЛи Ван КлифДжан Мария ВолонтеМара КруппЛуиджи ПистиллиКлаус КинскиЛуис Родригес ПалильоБенито СтефанеллиПанос ПападопулосАльдо Самбрель;7.7;Бегущий по лезвию 2049;Бюджет$150 000 000;
Год производства2011;СтранаКитай, Гонконг;Жанрвоенный, боевик, драма, историяслова;РежиссерЧжан Имоу;СценарийЛю Хэн, Янь Гэлин;ПродюсерЧжан Вэйпин, Чаоинь Ден, Уильям Кун, ...;Премьера в мире11 декабря 2011, ...;Возраст18+;Время146 мин. / 02:26;Jin ling shi san chai;Клинт ИствудЛи Ван КлифДжан Мария ВолонтеМара КруппЛуиджи ПистиллиКлаус КинскиЛуис Родригес ПалильоБенито СтефанеллиПанос ПападопулосАльдо Самбрель;7.9;Цветы войны;Бюджет$94 000 000;
Год производства1993;СтранаСША;Жанрдрама, комедия, семейныйслова;РежиссерКрис Коламбус;СценарийРэнди Мейем Сингер, Лесли Диксон, Энн Файн;ПродюсерМарк Рэдклифф, Марша Гарсес Уильямс, Робин Уильямс, ...;Премьера в мире22 ноября 1993, ...;Возраст0+;Время125 мин. / 02:05;Mrs. Doubtfire;Клинт ИствудЛи Ван КлифДжан Мария ВолонтеМара КруппЛуиджи ПистиллиКлаус КинскиЛуис Родригес ПалильоБенито СтефанеллиПанос ПападопулосАльдо Самбрель;7.7;Миссис Даутфайр;Бюджет$25 000 000;
Год производства1966;СтранаСССР;Жанрдрама, комедия, семейныйслова;РежиссерГеннадий Полока;СценарийГригорий Белых, Леонид Пантелеев;NaN;Премьера в мире29 декабря 1966, ...;Возраст6+;Время103 мин. / 01:43;6+;Клинт ИствудЛи Ван КлифДжан Мария ВолонтеМара КруппЛуиджи ПистиллиКлаус КинскиЛуис Родригес ПалильоБенито СтефанеллиПанос ПападопулосАльдо Самбрель;8.2;Республика ШКИД;NaN;
Год производства2011;СтранаСША, Бразилия, Япония;Жанрбоевик, триллер, криминал, приключенияслова;РежиссерДжастин Лин;СценарийКрис Морган, Гэри Скотт Томпсон;ПродюсерВин Дизель, Майкл Фоттрел, Нил Х. Мориц, ...;Премьера в мире15 апреля 2011, ...;Возраст16+;Время130 мин. / 02:10;Fast Five;Клинт ИствудЛи Ван КлифДжан Мария ВолонтеМара КруппЛуиджи ПистиллиКлаус КинскиЛуис Родригес ПалильоБенито СтефанеллиПанос ПападопулосАльдо Самбрель;7.6;Форсаж 5;Бюджет$125 000 000;
Год производства2007;СтранаФранция, США;Жанрбоевик, триллерслова;РежиссерПьер Морель;СценарийЛюк Бессон, Роберт Марк Кэмен;ПродюсерДидье Хорау, Франк Лебретон, Мишель Мандавилль, ...;Премьера в мире27 февраля 2008, ...;Возраст16+;Время90 мин. / 01:30;Taken;Клинт ИствудЛи Ван КлифДжан Мария ВолонтеМара КруппЛуиджи ПистиллиКлаус КинскиЛуис Родригес ПалильоБенито СтефанеллиПанос ПападопулосАльдо Самбрель;7.9;Заложница;Бюджет€25 000 000;
Год производства2011;СтранаЯпония;Жанраниме, мультфильм, мелодрама, фэнтезислова;РежиссерТакахиро Омори;СценарийТакахиро Омори, Юки Мидорикава;ПродюсерАкира Аоки, Ёкио Кавасаки, Макото Накамура, ...;Премьера в мире17 сентября 2011, ...;NaN;Время45 мин.;NaN;Коки УтиямаАянэ СакураСинпати ЦудзиИдзуми СавадаХаято ТаяКанэхира ЯмамотоМасанори МатидаХироки ГотоАсами ИмаиМами Утида;8.2;В лес, где мерцают светлячки;NaN;
Год производства2020;СтранаСША;Жанрмюзикл, драма, биография, историяслова;РежиссерТомас Каил;СценарийЛин-Мануэль Миранда, Ron Chernow;ПродюсерТомас Каил, Джеффри Селер, Джилл Фурман, ...;Премьера в мире3 июля 2020, ...;NaN;Время160 мин. / 02:40;NaN;Давид ДиггсРене ГолдсберриДжонатан ГроффКристофер Нил ДжексонЖасмин Сифас ДжонсЛин-Мануэль МирандаЛесли Одом мл.Окьерете ОнаодованЭнтони РамосФиллипа Су;8.3;Гамильтон;NaN;
Год производства2007;СтранаСША, Великобритания;Жанрмюзикл, ужасы, триллер, драмаслова;РежиссерТим Бёртон;СценарийДжон Логан, Хью Вилер, Кристофер Бонд;ПродюсерДжон Логан, Лори МакДональд, Ричард Д. Занук, ...;Премьера в мире3 декабря 2007, ...;Возраст18+;Время116 мин. / 01:56;Sweeney Todd: The Demon Barber of Fleet Street;Давид ДиггсРене ГолдсберриДжонатан ГроффКристофер Нил ДжексонЖасмин Сифас ДжонсЛин-Мануэль МирандаЛесли Одом мл.Окьерете ОнаодованЭнтони РамосФиллипа Су;7.7;Суини Тодд, демон-парикмахер с Флит-стрит;Бюджет$50 000 000;
Год производства1968;СтранаСССР;Жанрмелодрама, драмаслова;РежиссерСтанислав Ростоцкий;СценарийГеоргий Полонский;NaN;Премьера в мире2 июля 1968, ...;Возраст12+;Время106 мин. / 01:46;12+;Давид ДиггсРене ГолдсберриДжонатан ГроффКристофер Нил ДжексонЖасмин Сифас ДжонсЛин-Мануэль МирандаЛесли Одом мл.Окьерете ОнаодованЭнтони РамосФиллипа Су;8.1;Доживем до понедельника;NaN;
Год производства1998;СтранаСША, Великобритания;Жанркомедия, криминал, спортслова;РежиссерДжоэл Коэн, Итан Коэн;СценарийИтан Коэн, Джоэл Коэн;ПродюсерИтан Коэн, Джоэл Коэн, Тим Беван, ...;Премьера в мире18 января 1998, ...;Возраст18+;Время117 мин. / 01:57;The Big Lebowski;Давид ДиггсРене ГолдсберриДжонатан ГроффКристофер Нил ДжексонЖасмин Сифас ДжонсЛин-Мануэль МирандаЛесли Одом мл.Окьерете ОнаодованЭнтони РамосФиллипа Су;7.8;Большой Лебовски;Бюджет$15 000 000;
Год производства2005;СтранаСША;Жанрмелодрама, комедияслова;РежиссерЭнди Теннант;СценарийКевин Биш;ПродюсерДжеймс Ласситер, Уилл Смит, Тедди Зи, ...;Премьера в мире10 февраля 2005, ...;Возраст12+;Время117 мин. / 01:57;NaN;Уилл СмитЕва МендесКевин ДжеймсЭмбер ВаллеттаДжули Энн ЭмериАдам АркинРобин ЛиНэйтан Ли ГрэхэмМайкл РапапортДжеффри Донован;7.7;Правила съема: Метод Хитча;Бюджет$70 000 000;
Год производства2010;СтранаСША, Франция;Жанрмультфильм, фэнтези, комедия, криминал, семейныйслова;РежиссерПьер Коффан, Крис Рено;СценарийСинко Пол, Кен Даурио, Серхио Паблос;ПродюсерДжон Коэн, Джанет Хили, Кристофер Меледандри, ...;Премьера в мире27 июня 2010, ...;Возраст0+;Время95 мин. / 01:35;Despicable Me;Уилл СмитЕва МендесКевин ДжеймсЭмбер ВаллеттаДжули Энн ЭмериАдам АркинРобин ЛиНэйтан Ли ГрэхэмМайкл РапапортДжеффри Донован;7.7;Гадкий я;Бюджет$69 000 000;
Год производства2006;СтранаСША, Канада, Китай;Жанрдрама, мелодрамаслова;РежиссерДжон Кёрран;СценарийРон Нисуонер, Уильям Сомерсет Моэм;ПродюсерСара Коллетон, Жан-Франсуа Фонлюп, Эдвард Нортон, ...;Премьера в мире20 декабря 2006, ...;Возраст16+;Время125 мин. / 02:05;The Painted Veil;Уилл СмитЕва МендесКевин ДжеймсЭмбер ВаллеттаДжули Энн ЭмериАдам АркинРобин ЛиНэйтан Ли ГрэхэмМайкл РапапортДжеффри Донован;7.9;Разрисованная вуаль;Бюджет$34 000 000;
Год производства1971;СтранаСССР;Жанрдрама, военныйслова;РежиссерАлексей Герман;СценарийЭдуард Володарский, Юрий Герман;NaN;Премьера в мире6 ноября 1986, ...;Возраст16+;Время97 мин. / 01:37;16+;Уилл СмитЕва МендесКевин ДжеймсЭмбер ВаллеттаДжули Энн ЭмериАдам АркинРобин ЛиНэйтан Ли ГрэхэмМайкл РапапортДжеффри Донован;8.0;Проверка на дорогах;NaN;
Год производства1979;СтранаСССР;Жанрфантастика, драма, детектив, приключенияслова;РежиссерАндрей Тарковский;СценарийАркадий Стругацкий, Борис Стругацкий, Андрей Тарковский;NaN;Премьера в мире1 января 1979, ...;Возраст12+;Время163 мин. / 02:43;12+;Уилл СмитЕва МендесКевин ДжеймсЭмбер ВаллеттаДжули Энн ЭмериАдам АркинРобин ЛиНэйтан Ли ГрэхэмМайкл РапапортДжеффри Донован;8.1;Сталкер;Бюджетр. 6 000 000;
Год производства2001;СтранаСША, Великобритания;Жанрбоевик, военный, история, драмаслова;РежиссерРидли Скотт;СценарийКен Нолан, Марк Боуден;ПродюсерДжерри Брукхаймер, Ридли Скотт, Гарри Хемфрис, ...;Премьера в мире18 декабря 2001, ...;Возраст16+;Время144 мин. / 02:24;Black Hawk Down;Уилл СмитЕва МендесКевин ДжеймсЭмбер ВаллеттаДжули Энн ЭмериАдам АркинРобин ЛиНэйтан Ли ГрэхэмМайкл РапапортДжеффри Донован;7.8;Черный ястреб;Бюджет$92 000 000;
Год производства2000;СтранаСША;Жанрдрамаслова;РежиссерГас Ван Сент;СценарийМайк Рич;ПродюсерШон Коннери, Лоуренс Марк, Ронда Толлфсон, ...;Премьера в мире1 декабря 2000, ...;Возраст12+;Время131 мин. / 02:11;Finding Forrester;Уилл СмитЕва МендесКевин ДжеймсЭмбер ВаллеттаДжули Энн ЭмериАдам АркинРобин ЛиНэйтан Ли ГрэхэмМайкл РапапортДжеффри Донован;7.8;Найти Форрестера;Бюджет$43 000 000;
Год производства2019;СтранаСША, Китай, Гонконг, Индия;Жанрфэнтези, драма, комедия, приключения, семейныйслова;РежиссерГейл Манкусо;СценарийБрюс Кэмерон, Катрин Мишон, Майя Форбс, ...;ПродюсерХолли Барио, Йен Димерман, Фань Луюань, ...;Премьера в мире3 мая 2019, ...;Возраст12+;Время109 мин. / 01:49;A Dog's Journey;Уилл СмитЕва МендесКевин ДжеймсЭмбер ВаллеттаДжули Энн ЭмериАдам АркинРобин ЛиНэйтан Ли ГрэхэмМайкл РапапортДжеффри Донован;8.0;Собачья жизнь 2;Бюджет$16 000 000;
Год производства1995;СтранаЯпония;Жанраниме, мультфильм, драма, мелодрамаслова;РежиссерЁсифуми Кондо;СценарийХаяо Миядзаки, Аои Хираги;ПродюсерТосио Судзуки, Хаяо Миядзаки, Такаси Сёдзи, ...;Премьера в мире15 июля 1995, ...;Возраст12+;Время111 мин. / 01:51;Mimi wo sumaseba;Уилл СмитЕва МендесКевин ДжеймсЭмбер ВаллеттаДжули Энн ЭмериАдам АркинРобин ЛиНэйтан Ли ГрэхэмМайкл РапапортДжеффри Донован;8.3;Шёпот сердца;NaN;
Год производства2002;СтранаСША;Жанрдрама, музыкаслова;РежиссерКёртис Хэнсон;СценарийСкотт Сильвер;ПродюсерБрайан Грейзер, Кёртис Хэнсон, Джимми Айовин, ...;Премьера в мире8 сентября 2002, ...;Возраст18+;Время110 мин. / 01:50;8 Mile;Уилл СмитЕва МендесКевин ДжеймсЭмбер ВаллеттаДжули Энн ЭмериАдам АркинРобин ЛиНэйтан Ли ГрэхэмМайкл РапапортДжеффри Донован;7.7;8 миля;Бюджет$41 000 000;
Год производства2005;СтранаСША, Чехия;Жанрфэнтези, триллер, драма, мелодрама, детективслова;РежиссерНил Бёргер;СценарийНил Бёргер, Стивен Миллхаузер;ПродюсерБрайан Коппельман, Дэвид Левин, Майкл Лондон, ...;Премьера в мире22 января 2006, ...;Возраст16+;Время110 мин. / 01:50;The Illusionist;Уилл СмитЕва МендесКевин ДжеймсЭмбер ВаллеттаДжули Энн ЭмериАдам АркинРобин ЛиНэйтан Ли ГрэхэмМайкл РапапортДжеффри Донован;8.0;Иллюзионист;Бюджет$16 500 000;
Год производства2013;СтранаЯпония;Жанраниме, мультфильм, мелодрамаслова;РежиссерМакото Синкай;СценарийМакото Синкай;ПродюсерНоритака Кавагути, Коитиро Ито, Кохэй Кэнмоцу, ...;Премьера в мире31 мая 2013, ...;Возраст12+;Время46 мин.;Koto no ha no niwa;Уилл СмитЕва МендесКевин ДжеймсЭмбер ВаллеттаДжули Энн ЭмериАдам АркинРобин ЛиНэйтан Ли ГрэхэмМайкл РапапортДжеффри Донован;7.8;Сад изящных слов;NaN;
Год производства1987;СтранаСША;Жанрдрама, мелодрама, музыкаслова;РежиссерЭмиль Ардолино;СценарийЭлинор Бергстин;ПродюсерДоро Бахрах, Элинор Бергстин, Митчелл Кэннолд, ...;Премьера в мире12 мая 1987, ...;Возраст12+;Время100 мин. / 01:40;Dirty Dancing;Уилл СмитЕва МендесКевин ДжеймсЭмбер ВаллеттаДжули Энн ЭмериАдам АркинРобин ЛиНэйтан Ли ГрэхэмМайкл РапапортДжеффри Донован;8.0;Грязные танцы;Бюджет$6 000 000;
Год производства2016;СтранаИспания;Жанртриллер, драма, криминал, детективслова;РежиссерОриол Паоло;СценарийОриол Паоло;ПродюсерМерседес Гамеро, Адриан Герра, Микель Лехарса, ...;Премьера в мире23 сентября 2016, ...;Возраст16+;Время106 мин. / 01:46;Contratiempo;Уилл СмитЕва МендесКевин ДжеймсЭмбер ВаллеттаДжули Энн ЭмериАдам АркинРобин ЛиНэйтан Ли ГрэхэмМайкл РапапортДжеффри Донован;7.8;Невидимый гость;Бюджет€4 000 000;
Год производства1961;СтранаСССР;Жанрфэнтези, мелодрама, комедияслова;РежиссерАлександр Роу;СценарийАлександр Роу, Николай Гоголь;NaN;Премьера в мире15 декабря 1961, ...;Возраст6+;Время66 мин. / 01:06;6+;Уилл СмитЕва МендесКевин ДжеймсЭмбер ВаллеттаДжули Энн ЭмериАдам АркинРобин ЛиНэйтан Ли ГрэхэмМайкл РапапортДжеффри Донован;8.0;Вечера на хуторе близ Диканьки;NaN;
Год производства2010;СтранаИндия, США, ОАЭ;Жанрдрамаслова;РежиссерКаран Джохар;СценарийШибани Батижа, Ниранджан Иенгар;ПродюсерГаури Кхан, Самит Чаула, Хироо Джохар, ...;Премьера в мире11 февраля 2010, ...;Возраст16+;Время155 мин. / 02:35;My Name Is Khan;Уилл СмитЕва МендесКевин ДжеймсЭмбер ВаллеттаДжули Энн ЭмериАдам АркинРобин ЛиНэйтан Ли ГрэхэмМайкл РапапортДжеффри Донован;8.1;Меня зовут Кхан;Бюджет$12 000 000;
Год производства1995;СтранаСША, Австрия, Швейцария;Жанрдрама, мелодрамаслова;РежиссерРичард Линклейтер;СценарийРичард Линклейтер, Ким Кризан;ПродюсерЭнн Уолкер-МакБэй, Грегори Джейкобс, Вольфганг Раммль, ...;Премьера в мире19 января 1995, ...;Возраст16+;Время101 мин. / 01:41;Before Sunrise;Уилл СмитЕва МендесКевин ДжеймсЭмбер ВаллеттаДжули Энн ЭмериАдам АркинРобин ЛиНэйтан Ли ГрэхэмМайкл РапапортДжеффри Донован;7.9;Перед рассветом;Бюджет$2 500 000;
Год производства2000;СтранаДания, Швеция, США, Аргентина, Великобритания, Германия, Исландия, Испания, Италия, Нидерланды, Норвегия, Финляндия, Франция;Жанрмюзикл, драма, криминалслова;РежиссерЛарс фон Триер;СценарийЛарс фон Триер, Сьон Сигурдссон;ПродюсерВибеке Винделов, Мальте Форселл, Фридрик Тоур Фридрикссон, ...;Премьера в мире17 мая 2000, ...;Возраст18+;Время140 мин. / 02:20;NaN;БьоркКатрин ДенёвДэвид МорсПетер СтормареДжоэл ГрейКэра СеймурВладика КостичЖан-Марк БаррВинсент ПэтерсонШиван Фэллон;7.9;Танцующая в темноте;Бюджет$12 800 000;
Год производства2005;СтранаСША, Канада;Жанрвестерн, мелодрама, драмаслова;РежиссерЭнг Ли;СценарийЛэрри МакМёртри, Дайана Оссана, Энни Пру;ПродюсерДайана Оссана, Джеймс Шеймус, Майкл Костиган, ...;Премьера в мире2 сентября 2005, ...;Возраст16+;Время134 мин. / 02:14;Brokeback Mountain;БьоркКатрин ДенёвДэвид МорсПетер СтормареДжоэл ГрейКэра СеймурВладика КостичЖан-Марк БаррВинсент ПэтерсонШиван Фэллон;7.6;Горбатая гора;Бюджет$14 000 000;
Год производства2021;СтранаСША;Жанрдрама, комедия, музыкаслова;РежиссерБо Бёрнэм;СценарийБо Бёрнэм;ПродюсерДжош Сеньор, Бо Бёрнэм, Cooper Wehde;Премьера в мире30 мая 2021, ...;NaN;Время87 мин. / 01:27;NaN;Бо Бёрнэм;8.3;Бо Бёрнэм: Дома;NaN;
Год производства1966;СтранаФранция, Великобритания;Жанркомедия, военный, приключенияслова;РежиссерЖерар Ури;СценарийЖорж Табе, Андре Табе, Жерар Ури, ...;ПродюсерРобер Дорфман;Премьера в мире8 декабря 1966, ...;Возраст6+;Время123 мин. / 02:03;La grande vadrouille;Бо Бёрнэм;8.1;Большая прогулка;NaN;
Год производства2016;СтранаВеликобритания;Жанрдрама, семейный, биографияслова;РежиссерРоджер Споттисвуд;СценарийТим Джон, Мария Нейшн, Джеймс Боуэн, ...;ПродюсерАдам Ролстон, Howard Ball, Пол Бретт, ...;Премьера в мире3 ноября 2016, ...;Возраст16+;Время103 мин. / 01:43;A Street Cat Named Bob;Бо Бёрнэм;7.5;Уличный кот по кличке Боб;Бюджет$8 000 000;
Год производства1982;СтранаСССР;Жанрдрама, мелодрамаслова;РежиссерЭльдар Рязанов;СценарийЭмиль Брагинский, Эльдар Рязанов;NaN;Премьера в мире11 февраля 1983, ...;Возраст12+;Время141 мин. / 02:21;12+;Бо Бёрнэм;7.9;Вокзал для двоих;NaN;
Год производства2001;СтранаСША;Жанрмультфильм, фантастика, фэнтези, боевик, приключения, семейныйслова;РежиссерГари Труздейл, Кирк Уайз;СценарийТэб Мёрфи, Дэвид Рейнольдс, Кирк Уайз, ...;ПродюсерДон Хан, Кендра Хааланд;Премьера в мире2 июня 2001, ...;Возраст0+;Время95 мин. / 01:35;Atlantis: The Lost Empire;Бо Бёрнэм;7.8;Атлантида: Затерянный мир;Бюджет$120 000 000;
Год производства2014;СтранаСША;Жанрмультфильм, фэнтези, комедия, приключения, семейныйслова;РежиссерДин ДеБлуа;СценарийДин ДеБлуа, Крессида Коуэлл;ПродюсерБонни Арнольд, Майкл А. Коннолли, Даг Дэвисон, ...;Премьера в мире16 мая 2014, ...;Возраст0+;Время105 мин. / 01:45;How to Train Your Dragon 2;Бо Бёрнэм;7.9;Как приручить дракона 2;Бюджет$145 000 000;
Год производства2010;СтранаСША;Жанрдрама, биографияслова;РежиссерДэвид Финчер;СценарийАарон Соркин, Бен Мезрич;ПродюсерДэна Брунетти, Сиан Чаффин, Майкл Де Лука, ...;Премьера в мире24 сентября 2010, ...;Возраст12+;Время120 мин. / 02:00;The Social Network;Бо Бёрнэм;7.7;Социальная сеть;Бюджет$50 000 000;
Год производства1984;СтранаСША;Жанрфантастика, фэнтези, боевик, комедияслова;РежиссерАйвен Райтман;СценарийДэн Эйкройд, Харольд Рэмис, Рик Морэнис;ПродюсерАйвен Райтман, Берни Бриллштейн, Майкл С. Гросс, ...;Премьера в мире7 июня 1984, ...;Возраст16+;Время105 мин. / 01:45;NaN;Билл МюррейДэн ЭйкройдСигурни УиверХарольд РэмисРик МорэнисЭнни ПоттсУильям ЭтертонЭрни ХадсонДэвид МаргулисСтивен Тэш;8.0;Охотники за привидениями;Бюджет$30 000 000;
Год производства1995;СтранаСША;Жанрфантастика, триллер, детективслова;РежиссерТерри Гиллиам;СценарийКрис Маркер, Дэвид Уэбб Пиплз, Джанет Пиплз;ПродюсерЧарльз Ровен, Роберт Кавалло, Марк Эгертон, ...;Премьера в мире8 декабря 1995, ...;Возраст16+;Время129 мин. / 02:09;Twelve Monkeys;Билл МюррейДэн ЭйкройдСигурни УиверХарольд РэмисРик МорэнисЭнни ПоттсУильям ЭтертонЭрни ХадсонДэвид МаргулисСтивен Тэш;7.8;12 обезьян;Бюджет$29 000 001;
Год производства1976;СтранаСША;Жанрдрама, спортслова;РежиссерДжон Г. Эвилдсен;СценарийСильвестр Сталлоне;ПродюсерРоберт Чартофф, Ирвин Уинклер, Джин Кирквуд;Премьера в мире20 ноября 1976, ...;Возраст16+;Время120 мин. / 02:00;NaN;Сильвестр СталлонеТалия ШайрБерт ЯнгКарл УэзерсБёрджесс МередитТэйер ДэвидДжо СпинеллДжимми ГамбинаБилл Болдуин ст.Аль Сильвани;8.0;Рокки;Бюджет$1 100 000;
Год производства1962;СтранаСССР;Жанрдрама, военныйслова;РежиссерАндрей Тарковский;СценарийМихаил Папава, Владимир Богомолов, Андрей Кончаловский, ...;NaN;Премьера в мире6 апреля 1962, ...;Возраст16+;Время96 мин. / 01:36;NaN;Николай БурляевВалентин ЗубковЕвгений ЖариковСтепан КрыловНиколай ГринькоДмитрий МилютенкоВалентина МалявинаИрма РаушАндрей КончаловскийИван Савкин;8.0;Иваново детство;NaN;
